Date,Team 1,FT,Team 2,Season
Apr 18 1970,1. FC Köln,1-2,Eintracht Frankfurt,1969-70
Apr 18 1970,Hannover 96,1-0,Bor. Mönchengladbach,1969-70
Apr 18 1970,MSV Duisburg,0-1,Rot-Weiss Essen,1969-70
Apr 18 1970,Alemannia Aachen,1-1,Eintracht Braunschweig,1969-70
Apr 18 1970,FC Schalke 04,2-2,Rot-Weiß Oberhausen,1969-70
Apr 18 1970,VfB Stuttgart,2-1,1. FC Kaiserslautern,1969-70
Apr 21 1970,Werder Bremen,1-0,Bayern Munich,1969-70
Apr 21 1970,TSV 1860 Munich,1-1,Eintracht Frankfurt,1969-70
Apr 21 1970,1. FC Kaiserslautern,1-1,FC Schalke 04,1969-70
Apr 21 1970,Rot-Weiss Essen,1-0,Bor. Mönchengladbach,1969-70
Apr 21 1970,Eintracht Braunschweig,3-0,Hamburger SV,1969-70
Apr 22 1970,Rot-Weiß Oberhausen,2-0,MSV Duisburg,1969-70
Apr 22 1970,Hannover 96,5-0,Alemannia Aachen,1969-70
Apr 22 1970,Hertha BSC,3-1,VfB Stuttgart,1969-70
Apr 24 1970,Rot-Weiss Essen,1-1,FC Schalke 04,1969-70
Apr 25 1970,Hamburger SV,1-0,Hertha BSC,1969-70
Apr 25 1970,1. FC Kaiserslautern,3-2,1. FC Köln,1969-70
Apr 27 1970,Rot-Weiss Essen,3-2,Werder Bremen,1969-70
Apr 30 1970,Rot-Weiss Essen,1-1,1. FC Kaiserslautern,1969-70
Apr 30 1970,Werder Bremen,4-1,Alemannia Aachen,1969-70
Apr 30 1970,Eintracht Braunschweig,1-2,Hertha BSC,1969-70
Apr 30 1970,Bor. Mönchengladbach,4-3,Hamburger SV,1969-70
Apr 30 1970,Eintracht Frankfurt,3-3,Hannover 96,1969-70
Apr 30 1970,MSV Duisburg,2-1,TSV 1860 Munich,1969-70
Apr 30 1970,Bayern Munich,6-2,Rot-Weiß Oberhausen,1969-70
Apr 30 1970,Borussia Dortmund,0-0,VfB Stuttgart,1969-70
May 3 1970,Hannover 96,4-2,1. FC Kaiserslautern,1969-70
May 3 1970,1. FC Köln,5-2,Borussia Dortmund,1969-70
May 3 1970,Rot-Weiß Oberhausen,3-4,Bor. Mönchengladbach,1969-70
May 3 1970,VfB Stuttgart,3-2,Eintracht Braunschweig,1969-70
May 3 1970,Hamburger SV,5-1,Eintracht Frankfurt,1969-70
May 3 1970,Hertha BSC,4-1,Werder Bremen,1969-70
May 3 1970,Alemannia Aachen,3-2,MSV Duisburg,1969-70
May 3 1970,TSV 1860 Munich,0-0,Rot-Weiss Essen,1969-70
May 3 1970,FC Schalke 04,2-2,Bayern Munich,1969-70
Aug 15 1970,Rot-Weiss Essen,2-0,Hannover 96,1970-71
Aug 15 1970,Werder Bremen,1-1,1. FC Köln,1970-71
Aug 15 1970,VfB Stuttgart,1-1,Bayern Munich,1970-71
Aug 15 1970,Hertha BSC,5-3,1. FC Kaiserslautern,1970-71
Aug 15 1970,Bor. Mönchengladbach,2-0,Kickers Offenbach,1970-71
Aug 15 1970,MSV Duisburg,2-2,Rot-Weiß Oberhausen,1970-71
Aug 15 1970,Borussia Dortmund,3-0,Arminia Bielefeld,1970-71
Aug 15 1970,Eintracht Braunschweig,3-3,FC Schalke 04,1970-71
Aug 15 1970,Eintracht Frankfurt,0-0,Hamburger SV,1970-71
Aug 22 1970,1. FC Köln,3-1,Eintracht Braunschweig,1970-71
Aug 22 1970,FC Schalke 04,1-0,MSV Duisburg,1970-71
Aug 22 1970,Arminia Bielefeld,0-0,Rot-Weiss Essen,1970-71
Aug 22 1970,Rot-Weiß Oberhausen,1-2,VfB Stuttgart,1970-71
Aug 22 1970,1. FC Kaiserslautern,1-0,Borussia Dortmund,1970-71
Aug 22 1970,Hamburger SV,2-2,Bor. Mönchengladbach,1970-71
Aug 22 1970,Kickers Offenbach,2-1,Werder Bremen,1970-71
Aug 22 1970,Bayern Munich,1-0,Hertha BSC,1970-71
Aug 22 1970,Hannover 96,1-2,Eintracht Frankfurt,1970-71
Aug 28 1970,Borussia Dortmund,0-0,Bayern Munich,1970-71
Aug 28 1970,Eintracht Frankfurt,1-1,Arminia Bielefeld,1970-71
Aug 28 1970,Eintracht Braunschweig,1-0,Werder Bremen,1970-71
Aug 28 1970,Bor. Mönchengladbach,0-0,Hannover 96,1970-71
Aug 28 1970,Rot-Weiss Essen,4-0,1. FC Kaiserslautern,1970-71
Aug 28 1970,VfB Stuttgart,1-1,FC Schalke 04,1970-71
Aug 28 1970,Hertha BSC,3-1,Rot-Weiß Oberhausen,1970-71
Sep 5 1970,Bayern Munich,2-2,Rot-Weiss Essen,1970-71
Sep 5 1970,Hannover 96,0-3,Hamburger SV,1970-71
Sep 5 1970,1. FC Köln,2-1,VfB Stuttgart,1970-71
Sep 5 1970,Rot-Weiß Oberhausen,0-1,Borussia Dortmund,1970-71
Sep 5 1970,1. FC Kaiserslautern,2-0,Eintracht Frankfurt,1970-71
Sep 5 1970,Arminia Bielefeld,0-2,Bor. Mönchengladbach,1970-71
Sep 5 1970,Werder Bremen,0-2,MSV Duisburg,1970-71
Sep 5 1970,FC Schalke 04,0-1,Hertha BSC,1970-71
Sep 5 1970,Kickers Offenbach,0-2,Eintracht Braunschweig,1970-71
Sep 11 1970,VfB Stuttgart,3-0,Werder Bremen,1970-71
Sep 11 1970,MSV Duisburg,0-0,Eintracht Braunschweig,1970-71
Sep 12 1970,Hannover 96,1-1,Kickers Offenbach,1970-71
Sep 12 1970,Eintracht Frankfurt,0-1,Bayern Munich,1970-71
Sep 12 1970,Hertha BSC,3-2,1. FC Köln,1970-71
Sep 12 1970,Borussia Dortmund,1-2,FC Schalke 04,1970-71
Sep 12 1970,Rot-Weiss Essen,3-3,Rot-Weiß Oberhausen,1970-71
Sep 12 1970,Hamburger SV,3-2,Arminia Bielefeld,1970-71
Sep 12 1970,Bor. Mönchengladbach,5-0,1. FC Kaiserslautern,1970-71
Sep 19 1970,Rot-Weiß Oberhausen,0-0,Eintracht Frankfurt,1970-71
Sep 19 1970,1. FC Kaiserslautern,2-0,Hamburger SV,1970-71
Sep 19 1970,Kickers Offenbach,2-0,MSV Duisburg,1970-71
Sep 19 1970,Arminia Bielefeld,3-1,Hannover 96,1970-71
Sep 19 1970,1. FC Köln,2-2,Borussia Dortmund,1970-71
Sep 19 1970,Bayern Munich,2-2,Bor. Mönchengladbach,1970-71
Sep 19 1970,FC Schalke 04,4-1,Rot-Weiss Essen,1970-71
Sep 19 1970,Eintracht Braunschweig,4-0,VfB Stuttgart,1970-71
Sep 19 1970,Werder Bremen,0-0,Hertha BSC,1970-71
Sep 23 1970,Hamburger SV,1-5,Bayern Munich,1970-71
Sep 23 1970,Hertha BSC,1-0,Eintracht Braunschweig,1970-71
Sep 23 1970,Arminia Bielefeld,2-0,Kickers Offenbach,1970-71
Sep 23 1970,VfB Stuttgart,1-0,MSV Duisburg,1970-71
Sep 23 1970,Hannover 96,2-1,1. FC Kaiserslautern,1970-71
Sep 23 1970,Rot-Weiss Essen,2-0,1. FC Köln,1970-71
Sep 23 1970,Eintracht Frankfurt,1-0,FC Schalke 04,1970-71
Sep 26 1970,1. FC Köln,0-0,Eintracht Frankfurt,1970-71
Sep 26 1970,Eintracht Braunschweig,3-0,Borussia Dortmund,1970-71
Sep 26 1970,Bayern Munich,4-1,Hannover 96,1970-71
Sep 26 1970,Rot-Weiß Oberhausen,8-1,Hamburger SV,1970-71
Sep 26 1970,Werder Bremen,1-1,Rot-Weiss Essen,1970-71
Sep 26 1970,FC Schalke 04,0-0,Bor. Mönchengladbach,1970-71
Sep 26 1970,MSV Duisburg,1-0,Hertha BSC,1970-71
Sep 26 1970,1. FC Kaiserslautern,3-0,Arminia Bielefeld,1970-71
Sep 26 1970,Kickers Offenbach,3-3,VfB Stuttgart,1970-71
Sep 30 1970,Bor. Mönchengladbach,6-0,Rot-Weiß Oberhausen,1970-71
Oct 3 1970,Hannover 96,1-2,Rot-Weiß Oberhausen,1970-71
Oct 3 1970,Bor. Mönchengladbach,1-1,1. FC Köln,1970-71
Oct 3 1970,Rot-Weiss Essen,0-1,Eintracht Braunschweig,1970-71
Oct 3 1970,Hertha BSC,2-0,VfB Stuttgart,1970-71
Oct 3 1970,Arminia Bielefeld,1-0,Bayern Munich,1970-71
Oct 3 1970,Borussia Dortmund,5-1,MSV Duisburg,1970-71
Oct 3 1970,Eintracht Frankfurt,0-2,Werder Bremen,1970-71
Oct 3 1970,Hamburger SV,1-2,FC Schalke 04,1970-71
Oct 3 1970,1. FC Kaiserslautern,4-0,Kickers Offenbach,1970-71
Oct 6 1970,Rot-Weiß Oberhausen,4-2,Arminia Bielefeld,1970-71
Oct 7 1970,MSV Duisburg,1-0,Rot-Weiss Essen,1970-71
Oct 7 1970,FC Schalke 04,3-0,Hannover 96,1970-71
Oct 7 1970,Werder Bremen,1-1,Bor. Mönchengladbach,1970-71
Oct 7 1970,1. FC Köln,3-0,Hamburger SV,1970-71
Oct 7 1970,Eintracht Braunschweig,2-0,Eintracht Frankfurt,1970-71
Oct 7 1970,Bayern Munich,3-1,1. FC Kaiserslautern,1970-71
Oct 7 1970,Kickers Offenbach,1-0,Hertha BSC,1970-71
Oct 7 1970,VfB Stuttgart,6-1,Borussia Dortmund,1970-71
Oct 10 1970,Arminia Bielefeld,0-3,FC Schalke 04,1970-71
Oct 10 1970,Borussia Dortmund,3-1,Hertha BSC,1970-71
Oct 10 1970,Bayern Munich,0-0,Kickers Offenbach,1970-71
Oct 10 1970,Hamburger SV,1-1,Werder Bremen,1970-71
Oct 10 1970,1. FC Kaiserslautern,4-1,Rot-Weiß Oberhausen,1970-71
Oct 10 1970,Rot-Weiss Essen,1-1,VfB Stuttgart,1970-71
Oct 10 1970,Eintracht Frankfurt,0-0,MSV Duisburg,1970-71
Oct 10 1970,Hannover 96,2-0,1. FC Köln,1970-71
Oct 10 1970,Bor. Mönchengladbach,3-1,Eintracht Braunschweig,1970-71
Oct 24 1970,Hertha BSC,1-1,Rot-Weiss Essen,1970-71
Oct 24 1970,VfB Stuttgart,2-1,Eintracht Frankfurt,1970-71
Oct 24 1970,Werder Bremen,0-0,Hannover 96,1970-71
Oct 24 1970,1. FC Köln,2-0,Arminia Bielefeld,1970-71
Oct 24 1970,FC Schalke 04,2-0,1. FC Kaiserslautern,1970-71
Oct 24 1970,Kickers Offenbach,3-0,Borussia Dortmund,1970-71
Oct 24 1970,Rot-Weiß Oberhausen,0-4,Bayern Munich,1970-71
Oct 24 1970,MSV Duisburg,1-1,Bor. Mönchengladbach,1970-71
Oct 24 1970,Eintracht Braunschweig,4-1,Hamburger SV,1970-71
Oct 27 1970,Borussia Dortmund,0-1,Werder Bremen,1970-71
Oct 28 1970,Hamburger SV,3-2,Kickers Offenbach,1970-71
Oct 28 1970,MSV Duisburg,0-0,1. FC Köln,1970-71
Oct 29 1970,Bayern Munich,3-0,FC Schalke 04,1970-71
Oct 31 1970,Bor. Mönchengladbach,4-1,VfB Stuttgart,1970-71
Oct 31 1970,Rot-Weiss Essen,0-1,Borussia Dortmund,1970-71
Oct 31 1970,Rot-Weiß Oberhausen,2-2,Kickers Offenbach,1970-71
Oct 31 1970,Eintracht Frankfurt,1-3,Hertha BSC,1970-71
Oct 31 1970,Arminia Bielefeld,3-0,Werder Bremen,1970-71
Oct 31 1970,Hamburger SV,2-0,MSV Duisburg,1970-71
Oct 31 1970,Hannover 96,1-0,Eintracht Braunschweig,1970-71
Oct 31 1970,1. FC Kaiserslautern,0-0,1. FC Köln,1970-71
Nov 6 1970,MSV Duisburg,3-2,Hannover 96,1970-71
Nov 7 1970,Hertha BSC,4-2,Bor. Mönchengladbach,1970-71
Nov 7 1970,FC Schalke 04,2-0,Rot-Weiß Oberhausen,1970-71
Nov 7 1970,Kickers Offenbach,1-2,Rot-Weiss Essen,1970-71
Nov 7 1970,Werder Bremen,1-1,1. FC Kaiserslautern,1970-71
Nov 7 1970,VfB Stuttgart,3-3,Hamburger SV,1970-71
Nov 7 1970,Eintracht Braunschweig,3-2,Arminia Bielefeld,1970-71
Nov 7 1970,1. FC Köln,0-3,Bayern Munich,1970-71
Nov 7 1970,Borussia Dortmund,3-0,Eintracht Frankfurt,1970-71
Nov 14 1970,Bor. Mönchengladbach,3-2,Borussia Dortmund,1970-71
Nov 14 1970,Bayern Munich,2-1,Werder Bremen,1970-71
Nov 14 1970,Kickers Offenbach,0-1,FC Schalke 04,1970-71
Nov 14 1970,Hamburger SV,0-0,Hertha BSC,1970-71
Nov 14 1970,1. FC Kaiserslautern,0-1,Eintracht Braunschweig,1970-71
Nov 14 1970,Hannover 96,3-0,VfB Stuttgart,1970-71
Nov 14 1970,Arminia Bielefeld,0-0,MSV Duisburg,1970-71
Nov 14 1970,Rot-Weiss Essen,2-0,Eintracht Frankfurt,1970-71
Nov 14 1970,Rot-Weiß Oberhausen,2-2,1. FC Köln,1970-71
Nov 28 1970,Borussia Dortmund,1-1,Hamburger SV,1970-71
Nov 28 1970,Werder Bremen,2-0,Rot-Weiß Oberhausen,1970-71
Nov 28 1970,1. FC Köln,2-0,FC Schalke 04,1970-71
Nov 28 1970,Eintracht Braunschweig,1-1,Bayern Munich,1970-71
Nov 28 1970,Hertha BSC,0-0,Hannover 96,1970-71
Nov 28 1970,MSV Duisburg,1-1,1. FC Kaiserslautern,1970-71
Nov 28 1970,VfB Stuttgart,1-0,Arminia Bielefeld,1970-71
Nov 28 1970,Eintracht Frankfurt,3-0,Kickers Offenbach,1970-71
Nov 28 1970,Rot-Weiss Essen,1-2,Bor. Mönchengladbach,1970-71
Dec 4 1970,Arminia Bielefeld,1-1,Hertha BSC,1970-71
Dec 4 1970,Bor. Mönchengladbach,5-0,Eintracht Frankfurt,1970-71
Dec 4 1970,Hannover 96,4-1,Borussia Dortmund,1970-71
Dec 4 1970,Bayern Munich,2-1,MSV Duisburg,1970-71
Dec 5 1970,FC Schalke 04,0-0,Werder Bremen,1970-71
Dec 5 1970,Hamburger SV,2-1,Rot-Weiss Essen,1970-71
Dec 5 1970,Rot-Weiß Oberhausen,1-0,Eintracht Braunschweig,1970-71
Dec 5 1970,1. FC Kaiserslautern,0-5,VfB Stuttgart,1970-71
Dec 5 1970,Kickers Offenbach,4-1,1. FC Köln,1970-71
Jan 23 1971,Hannover 96,3-1,Rot-Weiss Essen,1970-71
Jan 23 1971,1. FC Köln,1-1,Werder Bremen,1970-71
Jan 23 1971,Bayern Munich,1-0,VfB Stuttgart,1970-71
Jan 23 1971,1. FC Kaiserslautern,2-0,Hertha BSC,1970-71
Jan 23 1971,Kickers Offenbach,1-3,Bor. Mönchengladbach,1970-71
Jan 23 1971,Rot-Weiß Oberhausen,0-2,MSV Duisburg,1970-71
Jan 23 1971,Arminia Bielefeld,2-3,Borussia Dortmund,1970-71
Jan 23 1971,FC Schalke 04,1-0,Eintracht Braunschweig,1970-71
Jan 23 1971,Hamburger SV,3-0,Eintracht Frankfurt,1970-71
Jan 30 1971,Eintracht Braunschweig,3-1,1. FC Köln,1970-71
Jan 30 1971,MSV Duisburg,1-0,FC Schalke 04,1970-71
Jan 30 1971,Rot-Weiss Essen,2-1,Arminia Bielefeld,1970-71
Jan 30 1971,VfB Stuttgart,2-1,Rot-Weiß Oberhausen,1970-71
Jan 30 1971,Borussia Dortmund,0-2,1. FC Kaiserslautern,1970-71
Jan 30 1971,Bor. Mönchengladbach,3-0,Hamburger SV,1970-71
Jan 30 1971,Werder Bremen,3-1,Kickers Offenbach,1970-71
Jan 30 1971,Hertha BSC,3-3,Bayern Munich,1970-71
Jan 30 1971,Eintracht Frankfurt,2-1,Hannover 96,1970-71
Feb 6 1971,Arminia Bielefeld,1-0,Eintracht Frankfurt,1970-71
Feb 6 1971,Werder Bremen,2-0,Eintracht Braunschweig,1970-71
Feb 6 1971,Hannover 96,1-1,Bor. Mönchengladbach,1970-71
Feb 6 1971,1. FC Kaiserslautern,5-2,Rot-Weiss Essen,1970-71
Feb 6 1971,FC Schalke 04,2-1,VfB Stuttgart,1970-71
Feb 6 1971,Kickers Offenbach,3-3,Hamburger SV,1970-71
Feb 6 1971,1. FC Köln,2-1,MSV Duisburg,1970-71
Feb 13 1971,VfB Stuttgart,1-2,1. FC Köln,1970-71
Feb 13 1971,Bor. Mönchengladbach,0-2,Arminia Bielefeld,1970-71
Feb 13 1971,Borussia Dortmund,2-0,Rot-Weiß Oberhausen,1970-71
Feb 13 1971,Hertha BSC,2-1,FC Schalke 04,1970-71
Feb 13 1971,Eintracht Frankfurt,3-2,1. FC Kaiserslautern,1970-71
Feb 13 1971,Eintracht Braunschweig,3-0,Kickers Offenbach,1970-71
Feb 13 1971,MSV Duisburg,3-1,Werder Bremen,1970-71
Feb 13 1971,Hamburger SV,1-0,Hannover 96,1970-71
Feb 27 1971,Kickers Offenbach,1-5,Hannover 96,1970-71
Feb 27 1971,1. FC Köln,3-2,Hertha BSC,1970-71
Feb 27 1971,Arminia Bielefeld,1-1,Hamburger SV,1970-71
Feb 27 1971,Rot-Weiß Oberhausen,0-0,Rot-Weiss Essen,1970-71
Feb 27 1971,1. FC Kaiserslautern,0-1,Bor. Mönchengladbach,1970-71
Feb 27 1971,FC Schalke 04,0-0,Borussia Dortmund,1970-71
Feb 27 1971,Werder Bremen,3-1,VfB Stuttgart,1970-71
Feb 27 1971,Eintracht Braunschweig,5-0,MSV Duisburg,1970-71
Mar 3 1971,Rot-Weiß Oberhausen,1-1,Hertha BSC,1970-71
Mar 5 1971,Hamburger SV,5-2,1. FC Kaiserslautern,1970-71
Mar 5 1971,Borussia Dortmund,0-0,1. FC Köln,1970-71
Mar 5 1971,Rot-Weiss Essen,1-3,FC Schalke 04,1970-71
Mar 6 1971,Eintracht Frankfurt,5-0,Rot-Weiß Oberhausen,1970-71
Mar 6 1971,MSV Duisburg,2-2,Kickers Offenbach,1970-71
Mar 6 1971,Hertha BSC,3-1,Werder Bremen,1970-71
Mar 6 1971,Hannover 96,2-0,Arminia Bielefeld,1970-71
Mar 6 1971,VfB Stuttgart,1-1,Eintracht Braunschweig,1970-71
Mar 13 1971,Rot-Weiss Essen,3-1,Bayern Munich,1970-71
Mar 13 1971,FC Schalke 04,4-1,Eintracht Frankfurt,1970-71
Mar 13 1971,Bayern Munich,6-2,Hamburger SV,1970-71
Mar 13 1971,Eintracht Braunschweig,2-1,Hertha BSC,1970-71
Mar 13 1971,Kickers Offenbach,5-0,Arminia Bielefeld,1970-71
Mar 13 1971,Werder Bremen,3-1,Borussia Dortmund,1970-71
Mar 20 1971,Rot-Weiss Essen,2-2,Werder Bremen,1970-71
Mar 20 1971,VfB Stuttgart,1-0,Kickers Offenbach,1970-71
Mar 20 1971,Hertha BSC,3-1,MSV Duisburg,1970-71
Mar 20 1971,Bor. Mönchengladbach,2-0,FC Schalke 04,1970-71
Mar 20 1971,Hannover 96,2-2,Bayern Munich,1970-71
Mar 20 1971,Borussia Dortmund,1-1,Eintracht Braunschweig,1970-71
Mar 20 1971,Arminia Bielefeld,2-1,1. FC Kaiserslautern,1970-71
Mar 20 1971,Hamburger SV,0-0,Rot-Weiß Oberhausen,1970-71
Mar 20 1971,Eintracht Frankfurt,1-1,1. FC Köln,1970-71
Mar 26 1971,Rot-Weiß Oberhausen,4-3,Hannover 96,1970-71
Mar 27 1971,FC Schalke 04,3-1,Hamburger SV,1970-71
Mar 27 1971,Bayern Munich,2-0,Arminia Bielefeld,1970-71
Mar 27 1971,VfB Stuttgart,1-1,Hertha BSC,1970-71
Mar 27 1971,Werder Bremen,1-0,Eintracht Frankfurt,1970-71
Mar 27 1971,Eintracht Braunschweig,1-0,Rot-Weiss Essen,1970-71
Mar 27 1971,Kickers Offenbach,2-2,1. FC Kaiserslautern,1970-71
Mar 27 1971,MSV Duisburg,4-3,Borussia Dortmund,1970-71
Mar 27 1971,1. FC Köln,3-2,Bor. Mönchengladbach,1970-71
Apr 2 1971,Arminia Bielefeld,2-1,Rot-Weiß Oberhausen,1970-71
Apr 2 1971,Hamburger SV,2-0,1. FC Köln,1970-71
Apr 3 1971,Hannover 96,3-0,FC Schalke 04,1970-71
Apr 3 1971,Eintracht Frankfurt,5-2,Eintracht Braunschweig,1970-71
Apr 3 1971,Borussia Dortmund,3-1,VfB Stuttgart,1970-71
Apr 3 1971,Hertha BSC,3-1,Kickers Offenbach,1970-71
Apr 3 1971,Bor. Mönchengladbach,0-2,Werder Bremen,1970-71
Apr 3 1971,Rot-Weiss Essen,1-1,MSV Duisburg,1970-71
Apr 3 1971,1. FC Kaiserslautern,2-1,Bayern Munich,1970-71
Apr 8 1971,1. FC Kaiserslautern,2-1,Hannover 96,1970-71
Apr 13 1971,MSV Duisburg,1-0,VfB Stuttgart,1970-71
Apr 14 1971,Bor. Mönchengladbach,3-1,Bayern Munich,1970-71
Apr 17 1971,Hertha BSC,5-2,Borussia Dortmund,1970-71
Apr 17 1971,Eintracht Braunschweig,1-1,Bor. Mönchengladbach,1970-71
Apr 17 1971,Rot-Weiß Oberhausen,4-2,1. FC Kaiserslautern,1970-71
Apr 17 1971,Werder Bremen,2-2,Hamburger SV,1970-71
Apr 17 1971,Kickers Offenbach,1-1,Bayern Munich,1970-71
Apr 17 1971,MSV Duisburg,3-1,Eintracht Frankfurt,1970-71
Apr 17 1971,FC Schalke 04,0-1,Arminia Bielefeld,1970-71
Apr 17 1971,VfB Stuttgart,5-1,Rot-Weiss Essen,1970-71
Apr 17 1971,1. FC Köln,0-1,Hannover 96,1970-71
Apr 28 1971,Rot-Weiß Oberhausen,0-2,Bor. Mönchengladbach,1970-71
Apr 30 1971,Hannover 96,0-3,Werder Bremen,1970-71
Apr 30 1971,1. FC Kaiserslautern,2-0,FC Schalke 04,1970-71
May 1 1971,Arminia Bielefeld,1-0,1. FC Köln,1970-71
May 1 1971,Borussia Dortmund,1-1,Kickers Offenbach,1970-71
May 1 1971,Bor. Mönchengladbach,1-0,MSV Duisburg,1970-71
May 1 1971,Hamburger SV,2-1,Eintracht Braunschweig,1970-71
May 1 1971,Bayern Munich,4-2,Rot-Weiß Oberhausen,1970-71
May 1 1971,Rot-Weiss Essen,0-3,Hertha BSC,1970-71
May 1 1971,Eintracht Frankfurt,1-0,VfB Stuttgart,1970-71
May 4 1971,Bayern Munich,1-1,Borussia Dortmund,1970-71
May 5 1971,1. FC Köln,3-2,Rot-Weiss Essen,1970-71
May 7 1971,MSV Duisburg,2-2,Hamburger SV,1970-71
May 8 1971,VfB Stuttgart,1-1,Bor. Mönchengladbach,1970-71
May 8 1971,Borussia Dortmund,7-2,Rot-Weiss Essen,1970-71
May 8 1971,FC Schalke 04,1-3,Bayern Munich,1970-71
May 8 1971,Werder Bremen,4-1,Arminia Bielefeld,1970-71
May 8 1971,1. FC Köln,1-2,1. FC Kaiserslautern,1970-71
May 8 1971,Kickers Offenbach,3-2,Rot-Weiß Oberhausen,1970-71
May 8 1971,Eintracht Braunschweig,0-4,Hannover 96,1970-71
May 8 1971,Hertha BSC,6-2,Eintracht Frankfurt,1970-71
May 14 1971,Hannover 96,3-3,MSV Duisburg,1970-71
May 14 1971,Bor. Mönchengladbach,4-0,Hertha BSC,1970-71
May 14 1971,1. FC Kaiserslautern,2-1,Werder Bremen,1970-71
May 15 1971,Rot-Weiß Oberhausen,4-1,FC Schalke 04,1970-71
May 15 1971,Bayern Munich,7-0,1. FC Köln,1970-71
May 15 1971,Eintracht Frankfurt,2-0,Borussia Dortmund,1970-71
May 15 1971,Rot-Weiss Essen,2-3,Kickers Offenbach,1970-71
May 15 1971,Hamburger SV,1-0,VfB Stuttgart,1970-71
May 15 1971,Arminia Bielefeld,0-1,Eintracht Braunschweig,1970-71
May 19 1971,Bayern Munich,2-1,Eintracht Frankfurt,1970-71
May 22 1971,Borussia Dortmund,3-4,Bor. Mönchengladbach,1970-71
May 22 1971,Werder Bremen,0-1,Bayern Munich,1970-71
May 22 1971,FC Schalke 04,1-2,Kickers Offenbach,1970-71
May 22 1971,Hertha BSC,2-0,Hamburger SV,1970-71
May 22 1971,Eintracht Braunschweig,2-0,1. FC Kaiserslautern,1970-71
May 22 1971,VfB Stuttgart,1-2,Hannover 96,1970-71
May 22 1971,MSV Duisburg,4-1,Arminia Bielefeld,1970-71
May 22 1971,Eintracht Frankfurt,3-2,Rot-Weiss Essen,1970-71
May 22 1971,1. FC Köln,2-4,Rot-Weiß Oberhausen,1970-71
May 29 1971,Hamburger SV,2-1,Borussia Dortmund,1970-71
May 29 1971,Rot-Weiß Oberhausen,3-0,Werder Bremen,1970-71
May 29 1971,FC Schalke 04,2-2,1. FC Köln,1970-71
May 29 1971,Bayern Munich,4-1,Eintracht Braunschweig,1970-71
May 29 1971,Hannover 96,1-1,Hertha BSC,1970-71
May 29 1971,1. FC Kaiserslautern,3-0,MSV Duisburg,1970-71
May 29 1971,Arminia Bielefeld,1-0,VfB Stuttgart,1970-71
May 29 1971,Kickers Offenbach,0-2,Eintracht Frankfurt,1970-71
May 29 1971,Bor. Mönchengladbach,4-3,Rot-Weiss Essen,1970-71
Jun 5 1971,Hertha BSC,0-1,Arminia Bielefeld,1970-71
Jun 5 1971,Eintracht Frankfurt,1-4,Bor. Mönchengladbach,1970-71
Jun 5 1971,Borussia Dortmund,2-2,Hannover 96,1970-71
Jun 5 1971,MSV Duisburg,2-0,Bayern Munich,1970-71
Jun 5 1971,Werder Bremen,0-1,FC Schalke 04,1970-71
Jun 5 1971,Rot-Weiss Essen,1-3,Hamburger SV,1970-71
Jun 5 1971,Eintracht Braunschweig,1-1,Rot-Weiß Oberhausen,1970-71
Jun 5 1971,VfB Stuttgart,2-0,1. FC Kaiserslautern,1970-71
Jun 5 1971,1. FC Köln,4-2,Kickers Offenbach,1970-71
Aug 14 1971,Bayern Munich,3-1,Fortuna Düsseldorf,1971-72
Aug 14 1971,1. FC Köln,0-0,Werder Bremen,1971-72
Aug 14 1971,MSV Duisburg,2-1,Borussia Dortmund,1971-72
Aug 14 1971,VfL Bochum,1-0,Eintracht Braunschweig,1971-72
Aug 14 1971,Arminia Bielefeld,0-1,Rot-Weiß Oberhausen,1971-72
Aug 14 1971,Hamburger SV,5-1,Eintracht Frankfurt,1971-72
Aug 14 1971,VfB Stuttgart,3-0,Hertha BSC,1971-72
Aug 14 1971,Hannover 96,1-5,FC Schalke 04,1971-72
Aug 14 1971,1. FC Kaiserslautern,1-0,Bor. Mönchengladbach,1971-72
Aug 21 1971,Borussia Dortmund,1-1,Hamburger SV,1971-72
Aug 21 1971,Werder Bremen,2-2,1. FC Kaiserslautern,1971-72
Aug 21 1971,Fortuna Düsseldorf,2-0,Hannover 96,1971-72
Aug 21 1971,Hertha BSC,2-2,Bayern Munich,1971-72
Aug 21 1971,Eintracht Braunschweig,1-1,VfB Stuttgart,1971-72
Aug 21 1971,Rot-Weiß Oberhausen,2-3,VfL Bochum,1971-72
Aug 21 1971,FC Schalke 04,2-0,MSV Duisburg,1971-72
Aug 21 1971,Eintracht Frankfurt,2-2,1. FC Köln,1971-72
Aug 21 1971,Bor. Mönchengladbach,5-1,Arminia Bielefeld,1971-72
Aug 28 1971,Eintracht Frankfurt,4-0,Werder Bremen,1971-72
Aug 28 1971,VfL Bochum,0-2,Bor. Mönchengladbach,1971-72
Aug 28 1971,Hannover 96,1-1,Hertha BSC,1971-72
Aug 28 1971,Arminia Bielefeld,1-1,1. FC Kaiserslautern,1971-72
Aug 28 1971,MSV Duisburg,0-0,Fortuna Düsseldorf,1971-72
Aug 28 1971,VfB Stuttgart,1-1,Rot-Weiß Oberhausen,1971-72
Aug 28 1971,Bayern Munich,4-1,Eintracht Braunschweig,1971-72
Aug 28 1971,Hamburger SV,0-1,FC Schalke 04,1971-72
